id,nombre,provincia_id,centroide_lat,centroide_lon
6203060000,PASMAN,6,-37.22343514,-62.16022592
6203070000,SAN JOSE,6,-37.50774803,-61.92114731
6203080000,SANTA MARIA,6,-37.55658568,-61.87263436
6203090000,SANTA TRINIDAD,6,-37.48910365,-61.92527612
6203100000,VILLA LA ARCADIA,6,-38.13450253,-61.78855535
6210010000,CASTILLA,6,-34.6131247,-59.90051946
6210020000,CHACABUCO,6,-34.6429844,-60.47018435
6210030000,LOS ANGELES,6,-34.4575064,-60.18018451
6210040000,O'HIGGINS,6,-34.58547079,-60.69863258
6210050000,RAWSON,6,-34.60863743,-60.06771068
6217003000,BARRIO LOMAS ALTAS,6,-35.57398892,-58.06804365
6217010001,CHASCOMUS,6,-35.57430091,-58.00055326
6217010003,BARRIO SAN CAYETANO,6,-35.54668157,-58.00132588
6217015000,LAGUNA VITEL,6,-35.54041693,-58.13491942
6217020000,MANUEL J. COBO,6,-35.87482487,-57.89642268
6217030000,VILLA PARQUE GIRADO,6,-35.62826964,-58.01455244
6224005000,BENITEZ,6,-34.9660329,-60.12363856
6224010000,CHIVILCOY,6,-34.89801638,-60.0188841
6224020000,EMILIO AYARZA,6,-34.74606011,-60.03923142
6224030000,GOROSTIAGA,6,-34.8391273,-59.8646672
6224040000,LA RICA,6,-34.97391895,-59.86393021
6224050000,MOQUEHUA,6,-35.09265829,-59.7745303
6224060000,RAMON BIAUS,6,-35.08584552,-59.92366826
6224070000,SAN SEBASTIAN,6,-34.94437838,-59.70185974
6231010000,ANDANT,6,-36.56405798,-62.13240098
6231020000,ARBOLEDAS,6,-36.88277085,-61.48781791
6231030000,DAIREAUX,6,-36.60017492,-61.74501327
6231040000,LA LARGA,6,-36.67492564,-61.92919523
6231060000,SALAZAR,6,-36.30711716,-62.20033659
6238010000,DOLORES,6,-36.31612157,-57.67526573
6238020000,SEVIGNE,6,-36.20672843,-57.74137073
6245010001,DIQUE Nº 1,6,-34.87584855,-57.9336299
6245010002,ENSENADA,6,-34.86797702,-57.92143792
6245010003,ISLA SANTIAGO (OESTE),6,-34.8370462,-57.89996204
6245010004,PUNTA LARA,6,-34.83466894,-58.00104819
6245010005,VILLA CATELA,6,-34.88460015,-57.95112903
6252010001,BELEN DE ESCOBAR,6,-34.35167041,-58.78325267
6252010002,EL CAZADOR,6,-34.30349049,-58.78112746
6252010003,GARIN,6,-34.42878523,-58.73617326
6252010004,INGENIERO MASCHWITZ,6,-34.37900063,-58.73033424
6252010005,LOMA VERDE,6,-34.32852349,-58.85069977
6252010006,MATHEU,6,-34.36887797,-58.84022919
6252010007,MAQUINISTA F. SAVIO ESTE,6,-34.39648883,-58.76294588
